,0
0,1096311.0681177406
1,1108703.924847876
2,1104852.503063351
3,1107887.2408606433
4,1102865.489229183
5,1101253.6627085733
6,1107203.814579293
7,1103612.395226146
8,1102730.8526314842
9,1097903.4571722387
10,1096298.879505923
11,1091243.1939277397
12,1094245.8214639835
13,1091534.027284444
14,1094744.6113442876
15,1102851.877977446
16,1105642.1548174436
17,1103848.5737188465
18,1094597.0881420146
19,1088476.0480488332
20,1088836.5852072304
21,1087447.309531054
22,1099606.5877959027
23,1098701.5622870345
24,1099776.061718752
25,1096357.4322083828
26,1103423.4915203704
27,1109995.0887268991
28,1117620.9571805533
29,1122736.941236638
30,1127594.716469875
31,1126780.789007823
32,1124740.044477686
33,1129358.2284122312
34,1132531.7525127495
35,1133988.5084323292
36,1131363.3424123982
37,1133294.086537483
38,1130549.6200437972
39,1147181.7026306575
40,1141715.9612463948
41,1141702.2650055399
42,1138015.7907178504
43,1136069.256975688
44,1130451.6693334288
45,1131431.682233106
46,1132652.6957966585
47,1131420.2560402416
48,1129279.956781536
49,1135830.4402947146
50,1135872.727789612
51,1131889.8848764284
52,1130821.0187088535
53,1114964.5668078614
54,1112996.0708642001
55,1112820.0514597846
56,1107438.7452683314
57,1104149.2544148413
58,1114770.442355345
59,1110794.0114817163
60,1115469.5389371563
61,1110110.1334069439
62,1108917.6167221593
