,0
0,1997039.2976433353
1,2028113.640772452
2,1995878.0107832556
3,2020430.4767346114
4,2029757.1835700897
5,2042198.214038442
6,2043475.2799213491
7,2079303.774794768
8,2071631.3457957339
9,2078645.104231229
10,2061099.843211164
11,2065413.4051648134
12,2052162.764546657
13,2074566.673676836
14,2088501.4229795379
15,2096365.6262039598
16,2136211.6483198693
17,2098317.9099874375
18,2105485.777498171
19,2101026.270662751
20,2118441.0505205328
21,2140587.235424244
22,2147077.6541362936
23,2144941.269273984
24,2166747.060058518
25,2175444.8328779573
26,2160888.09196246
27,2163697.8319213367
28,2164039.092593927
29,2183196.2606866234
30,2219336.288777363
31,2202850.5645389925
32,2197233.2979383864
33,2180632.8804274295
34,2178013.7808503066
35,2171474.1735125287
36,2190679.8581515956
37,2201741.5483326935
38,2202537.3618625393
39,2189395.0252664927
40,2164412.5065878187
41,2169151.035067593
42,2201880.6088321405
43,2211339.2368638
44,2233319.6258519487
45,2234574.963894817
46,2235091.193765539
47,2238162.3360796534
48,2250655.584906722
49,2253660.1139872284
50,2274171.4643541775
51,2263789.2199975257
52,2259643.3199086604
53,2269090.278147981
54,2268728.309773437
55,2269019.9010112663
56,2262864.0905805924
57,2287946.9775406625
58,2279537.638173059
59,2257762.3272656943
60,2259877.661266875
61,2308309.79850954
62,2291432.611245951
