,0
0,12283.324507581303
1,22296.707535820315
2,4952.701342668617
3,6905.714147103485
4,2637.18998704385
5,-8059.459938511485
6,5310.946760692168
7,2467.2972076730803
8,-24267.85949693038
9,13028.137040328234
10,6416.924906804226
11,-1268.8301265030168
12,-10263.257893624483
13,126770.547677272
14,-22553.502723334357
15,-23871.66919250926
16,-22704.823729301337
17,-9448.653297522571
18,-29804.236701071495
19,-79062.15121350903
20,34427.2650437695
21,11869.343215394532
22,55617.346150296275
23,-25708.660432270262
24,-30819.78400514857
25,35159.83353324467
26,-59979.45529405959
27,1046.555099958554
28,21587.357789515285
29,24011.975025471067
30,-22149.5597077806
31,24792.598353437847
32,-13273.155686512822
33,-55519.709875955945
34,34049.389291417785
35,-279.481706378283
36,-14251.87949196063
37,29775.266637042165
38,-9907.724296955625
39,-24713.373411123408
40,18755.896177412244
41,41085.4550882068
42,-12940.327841709834
43,-13323.999298225157
44,-6529.654744774103
45,17760.90767737897
46,15683.809861512622
47,5204.3477732467
48,-2910.8365795421414
49,3170.37512799236
50,-4475.006368583068
51,12388.747529227287
52,-19155.60142696323
53,2713.592389999656
54,-29654.736996935913
55,38353.40934504359
56,4872.5684838099405
57,-30100.989186183084
58,-7455.417379728751
59,-23511.296310028527
60,-43260.61151878466
61,23302.930827738484
