,0
0,949895.1188111899
1,947939.7844287265
2,944670.3810220921
3,958626.1494645433
4,971409.8612625027
5,978888.6685143543
6,973953.3784873006
7,979325.3496011419
8,977850.4281278802
9,994090.5534948792
10,997879.3787335217
11,1004069.6707709809
12,1001180.364543357
13,1004661.2654520666
14,1000063.9211758288
15,996834.511812296
16,998681.3901720181
17,1012509.1122669497
18,1024540.673891771
19,1033199.8659504724
20,1025646.4072780873
21,1019202.119016509
22,1026816.2972147687
23,1033882.362464054
24,1034658.1497775576
25,1037031.1735875952
26,1037406.2009599397
27,1040772.1921228518
28,1042190.3610327289
29,1036943.6815867047
30,1030938.3539682016
31,1031746.3770858457
32,1031506.8577181927
33,1021981.2809377803
34,1024566.0027116581
35,1028440.2853238479
36,1021588.3338493279
37,1024052.1909136428
38,1036781.663367192
39,1039519.1365526714
40,1034847.4908677236
41,1036570.8060736884
42,1038558.4192432218
43,1040993.46841965
44,1062466.365290479
45,1056699.9873824301
46,1055890.9760848584
47,1023755.731105629
48,1039014.0638762421
49,1025618.730413367
50,1025744.7774316669
51,1037411.4460171349
52,1049232.8253200082
53,1044600.0291233178
54,1051019.9470914304
55,1063797.7476102237
56,1083529.19600781
57,1084892.3852559018
58,1076016.7531027352
59,1098028.1578658856
60,1114880.9350565346
61,1115263.9248441504
62,1126340.7606383571
