,0
0,994246.30658689
1,1001040.2997068899
2,989208.8149079808
3,990231.4373961687
4,988032.7442804738
5,998115.7257093732
6,1011430.4378277079
7,1015118.9981518955
8,1022445.5703601495
9,1033203.8276359715
10,1017145.073557006
11,1016601.7633902316
12,1024148.4563828291
13,972495.716081534
14,978482.1717792237
15,960467.8419808579
16,956632.4040255867
17,936473.4734048613
18,942060.1993231465
19,949966.350260709
20,941854.5924047108
21,945553.8310256364
22,953015.7217557621
23,965943.1509777625
24,968388.260859334
25,982566.9339130071
26,972936.0034474677
27,970261.9230804762
28,967150.0612537665
29,974720.6277241355
30,960713.1219644502
31,961462.1595212825
32,953478.2431149812
33,965957.0099886906
34,958494.0525141639
35,979176.2498067745
36,986086.3808273663
37,984957.5914631339
38,995502.5892886646
39,999399.6351451508
40,997180.3007180563
41,992067.4478793534
42,981114.0122589602
43,973862.8525922386
44,973907.0916749826
45,989528.5218244855
46,989815.828262383
47,977276.9125085409
48,975770.7645990507
49,975621.4112493834
50,976374.2352130881
51,965880.718018033
52,941071.986739872
53,943750.602870776
54,946788.2212992185
55,948669.0645178758
56,954428.3241100145
57,918130.7450314082
58,908671.3657499701
59,923942.5510443811
60,929414.7742701966
61,940262.2641444311
62,949895.1188111899
