,0
0,-419.7794055000413
1,-526.5194503999082
2,-13599.88851770002
3,-5725.275810000021
4,6928.976863499964
5,6432.475930800196
6,-43571.08810480987
7,18658.057647999725
8,-30283.51624300005
9,7976.789248000132
10,-4896.5914300000295
11,7856.595889999997
12,29157.516575000016
13,-11410.831524000037
14,4289.424163999967
15,-23348.420180999907
16,56620.63879499992
17,-20953.40542399988
18,-1717.348927999963
19,-7727.299048000132
20,-40279.68130100006
21,-10638.31736300001
22,-44804.54028999992
23,-12475.96000099997
24,-7967.474246000173
25,10790.971301000216
26,7847.421918999753
27,2787.4914000001736
28,17177.417381000007
29,22946.01800499996
30,-14927.357419000007
31,9339.526296000113
32,22355.636323999963
33,-12596.647667000187
34,3747.500014000223
35,7145.853814000031
36,-449.51196600007825
37,-7844.540520000039
38,35088.00309700018
39,859.484435999766
40,-6943.221267999965
41,-3066.6631449996494
42,-20135.114993000287
43,-3122.3213870000327
44,7925.722808999941
45,4694.965133000049
46,17846.628417999833
47,5750.6772500001825
48,1127.565750000067
49,4583.756379999919
50,-7753.275526999962
51,-2976.569995000027
52,3865.6121719998773
53,3592.6522900001146
54,3959.5380800000858
55,7199.09048299992
56,-3454.683532999945
57,18141.862354999874
58,7889.370747999987
59,-7377.380917999777
60,7710.367594999843
61,-7054.07637200004
