,0
0,-2527.709384575952
1,10473.778013894567
2,-895.5584360938519
3,-3614.4721013673116
4,-12733.960660665296
5,-12739.548737154808
6,29742.507133589825
7,2368.3736485445406
8,7059.19713170547
9,6856.117011231603
10,-14452.225986307021
11,2789.722034404287
12,-4130.773860115092
13,5641.777323362883
14,-5286.435953069478
15,-6429.67728319997
16,12106.372744399589
17,9794.7589898
18,-825.7091191001236
19,17120.9160236998
20,1715.1076224003918
21,-1029.9831489999779
22,-3370.027416800149
23,7917.275105299894
24,2819.182992100017
25,8686.353066300275
26,-3596.676298600156
27,159.52684209984727
28,-2311.277589999838
29,-4561.79935440002
30,1733.7807188001461
31,-1904.377005000133
32,5327.272723500151
33,101.229704399826
34,9158.316451000283
35,6508.412193799857
36,-3116.211871500127
37,7451.216581800021
38,-21980.95872899983
39,-3472.465747500304
40,-5090.161385799758
41,-6111.683173600119
42,-2682.628651399864
43,33959.984676899854
44,13715.996427900158
45,4894.849247699836
46,17908.011995699955
47,-48034.38412749977
48,5586.5973602999
49,11402.841582700144
50,-1416.510814100271
51,32080.261145300232
52,-29187.479297300102
53,10780.116448400076
54,15546.578897899948
55,-15878.68929930008
56,7108.348529500188
57,18919.738087899517
58,34971.411742714234
59,-749.1443349998444
60,2802.693192000035
61,-20549.697035000194
