,0
0,2176008.609148867
1,2322851.8364646216
2,2354519.7506602006
3,2355986.7132622274
4,2374753.244078939
5,2482877.8994950536
6,2466086.024566546
7,2546014.209887464
8,2551986.105909561
9,2525737.777424393
10,2430543.920407484
11,2495930.441119816
12,2491000.334673909
13,2525134.116663075
14,2510679.1666069794
15,2443453.1342716836
16,2536368.400251504
17,2588748.537036728
18,2478719.001598861
19,2524886.566582768
20,2546162.417963679
21,2575104.219534052
22,2593353.0212230254
23,2606696.7995371777
24,2636904.050640113
25,2582197.1395414444
26,2561549.6536308127
27,2574383.0346042668
28,2608766.2805727553
29,2630483.393964698
30,2632571.1052709315
31,2678250.2848130316
32,2639625.0746201403
33,2636799.9714435604
34,2614419.6734081362
35,2612779.0795093062
36,2608409.688127408
37,2640394.5989851034
38,2652071.0341479867
39,2667978.939401596
40,2673928.1698696194
41,2646475.9211790506
42,2690000.8668904933
43,2716475.3205884364
44,2764379.1732511776
45,2838853.167621937
46,2726929.5570711326
47,2733186.220336184
48,2754363.9289497463
49,2805500.8553778557
50,2825171.544623152
51,2845884.872743174
52,2851766.250409695
53,2906745.0961872623
54,2946628.175393807
55,2903081.77106943
56,2930802.7960740593
57,2873247.888742
58,2877726.6369336057
59,2957671.683428879
60,3042382.9488042025
61,3058836.988843263
62,3191697.9259326393
