,0
0,1154375.8823154764
1,1150311.9304278996
2,1162204.5517442392
3,1159079.1668471366
4,1156265.2828468052
5,1160675.1718227023
6,1147251.2582452756
7,1151003.724259254
8,1144295.8887252063
9,1138470.8392404104
10,1127535.2247267636
11,1132499.8071427434
12,1132432.0059057993
13,1124307.680139536
14,1135788.4226260262
15,1158572.163541436
16,1155021.007278147
17,1138555.1425151683
18,1132539.6738149973
19,1079795.9598861814
20,1094363.339336301
21,1088882.8177114907
22,1063152.409634568
23,1063837.1146929583
24,1049567.568497476
25,1088842.9814280446
26,1093303.8902651207
27,1077020.3533348572
28,1041751.9257015067
29,1037676.9647509387
30,1012380.7154041636
31,1044254.9034495756
32,1049121.165480259
33,1062358.4069862128
34,1066720.8589887132
35,1092924.5874249337
36,1099632.1590087367
37,1092128.905353188
38,1092618.0403707281
39,1077283.1694370552
40,1073354.9752451263
41,1058416.706194593
42,1048610.0762804667
43,1044784.7688560323
44,1066190.3995877267
45,1072251.292692096
46,1079823.8196028746
47,1076624.3060409697
48,1079033.9511821733
49,1068901.3327962214
50,1088453.2687608255
51,1081214.592926541
52,1070816.4455221514
53,1066095.7778428772
54,1077950.417855073
55,1084682.856595534
56,1083819.1497586174
57,1078356.8240750483
58,1070406.2869892109
59,1085206.2213782077
60,1085497.8053001564
61,1077061.1259389357
62,1059603.961219944
