,0
0,6957.890907440102
1,25185.29312918894
2,17881.219817012083
3,5191.683128573699
4,-87.53936591767706
5,22557.33436590759
6,34459.076433193404
7,-1845.7609094558284
8,-3439.929938785266
9,-2376.4524011835456
10,3895.834105273476
11,38446.83888789592
12,38941.84029177856
13,-7539.118825804908
14,21550.8034452321
15,25262.75717923697
16,14314.350739183836
17,13501.767826739
18,15146.715985482791
19,-58254.42550177523
20,11915.067860133713
21,-63314.17939305748
22,61051.36986714066
23,-39199.41021906561
24,-83907.30875253538
25,6411.305004253751
26,50327.84074759367
27,26651.611448063515
28,42425.23059493257
29,19169.39737707749
30,-9858.214049743954
31,21995.305725002196
32,17772.08604221791
33,110.85622526379302
34,23037.906555229565
35,28419.213986903662
36,-21064.519023492
37,-5786.870042253751
38,-34029.58790042158
39,10708.537443485111
40,27470.72365191183
41,15082.725206112256
42,13614.079956332687
43,13961.793363685254
44,41038.979473568266
45,20375.064634241397
46,-21689.681935358327
47,7849.842020328855
48,-8116.353295377223
49,-16361.295487921685
50,-41634.74899783917
51,38108.440334429964
52,-7507.3922699443065
53,-53916.91399887763
54,-59025.616023544455
55,71204.21765466081
56,-77369.0955251162
57,-61928.337846119655
58,27469.44741823594
59,-82445.6162491059
60,22040.578686082503
61,22793.32018228271
