,0
0,-6530.7708576372825
1,15713.316974096932
2,16879.191457910463
3,1231.3367687398568
4,12695.848621979356
5,-8737.329349689651
6,5586.303340232
7,15547.370816654991
8,4582.464498482179
9,-1173.2350721717812
10,-3901.339678346645
11,5016.035385104828
12,-8354.347329243086
13,-15481.909383060876
14,20539.57628219528
15,12099.686584214214
16,28294.674805155024
17,14444.664069184102
18,23371.37517606886
19,43460.092865691055
20,-3151.258973760996
21,23037.971909033135
22,4569.162379554473
23,29499.690279398113
24,-23681.67869591713
25,3081.31551851565
26,-5519.320427294355
27,9621.984015373513
28,11671.531827247702
29,4147.190586862154
30,-17970.400995808654
31,-36681.55232386198
32,-50099.75741492864
33,-20403.877693837974
34,14033.728758022655
35,-77505.1368822311
36,28460.164996569976
37,77286.98244577693
38,-64003.25075194659
39,62989.59870587615
40,-46829.567336718086
41,-40694.0756043368
42,-94281.66798464255
43,82536.79160606349
44,-66486.38825606834
45,-121206.60483229859
46,166878.1443804945
47,-189762.2835214727
48,93851.93429905106
49,-53512.57764051389
50,25848.676016928162
51,-48132.306177709484
52,1510.7164718734566
53,90950.82037613122
54,-24447.262825223617
55,92045.69224008778
56,-73701.25332981441
57,101671.19806012511
58,-20445.088799352758
59,-61051.71358266985
60,26802.124581555836
61,-21965.33590295445
