,0
0,1376785.8069292505
1,1383590.238406036
2,1405058.6513012312
3,1416784.5821995162
4,1418281.410024667
5,1413313.0246421031
6,1425784.3264683103
7,1432322.1374009186
8,1435466.4432794403
9,1439442.3218739864
10,1442270.5772250239
11,1431112.015770742
12,1419195.808530124
13,1416670.7783245596
14,1397451.5120741823
15,1407387.6084451084
16,1404260.3425872454
17,1404326.584077595
18,1525610.715861365
19,1535434.1951136503
20,1528995.8251035179
21,1527876.8918871025
22,1519267.7730159983
23,1538709.5897602402
24,1549155.179097075
25,1552871.988573777
26,1564162.2132734894
27,1559152.3790149065
28,1554499.5891182313
29,1557785.8790925266
30,1565156.2985318815
31,1552302.3867850334
32,1566139.5208245507
33,1554454.0641523066
34,1551123.4952538346
35,1570798.9415870318
36,1586338.841854081
37,1617342.24739152
38,1628401.1180440597
39,1627198.5557907703
40,1588270.635285171
41,1606854.907174357
42,1590498.8706828288
43,1556668.6455202638
44,1564350.940850842
45,1574940.0273211817
46,1581837.8539582272
47,1586984.5368733369
48,1596739.1210355945
49,1592830.433194738
50,1591778.6718287945
51,1601957.5546737744
52,1614548.720350742
53,1628942.4856836402
54,1623006.023910984
55,1612223.1494919965
56,1609681.0074095216
57,1603784.4651344777
58,1608311.6630197861
59,1611563.9808468209
60,1613877.17336783
61,1601164.0101520452
62,1619896.3304830056
