,0
0,2444296.9683292713
1,2372073.066768349
2,2348210.1050070776
3,2320108.5457000043
4,2322025.467474461
5,2185104.9930821345
6,2152668.1152604963
7,2232124.5445015705
8,2199577.961363146
9,2256509.7148243305
10,2264437.5600745883
11,2211345.6033547604
12,2206203.2172719454
13,2229955.0558578423
14,2212774.161510058
15,2113572.92948268
16,2218510.7429297245
17,2117998.8329192204
18,2044268.4897019556
19,2037775.5253493555
20,2086052.8618486163
21,2132164.245374874
22,2125855.4553353237
23,2094049.7930683864
24,2107653.5136900935
25,2207259.9562286744
26,2203074.4290138157
27,2159999.1583402054
28,2076959.1582130385
29,2071396.1720967698
30,2036671.3569895206
31,2060895.8697980738
32,2039329.6930147617
33,1961819.3739723633
34,1946818.1507822918
35,1965073.6284257565
36,1952368.785414137
37,2008639.5279987014
38,2008379.3510084273
39,2099164.3592008306
40,2095893.8591148076
41,2106965.119202763
42,2161892.76238451
43,2092297.5701999904
44,2113268.4708124986
45,2070078.44395099
46,2078138.470222925
47,2080157.0844028187
48,2088749.9929913203
49,2088235.734327384
50,2051067.9134781528
51,2009174.5236359127
52,2025654.8193685557
53,1996781.3896436354
54,1969968.7789290939
55,1906472.328138059
56,1877964.0684820241
57,1976295.9547570338
58,1972747.0114612584
59,1982614.8699047156
60,2002785.401795982
61,2024589.402587957
62,1987802.782757041
