,0
0,-3196.6668734462
1,-32235.629989196546
2,24552.465951355873
3,9326.706835478311
4,12441.030468352139
5,1277.065882907249
6,35828.49487341894
7,-7672.428999034222
8,7013.758435495198
9,-17545.261020065052
10,4313.5619536493905
11,-13250.640618156409
12,22403.90913017909
13,13934.749302701792
14,7864.2032244219445
15,39846.022115909494
16,-37893.73833243176
17,7167.86751073366
18,-4459.50683542015
19,17414.779857781716
20,22146.18490371108
21,6490.418712049723
22,-2136.3848623097874
23,21805.790784534067
24,8697.772819439415
25,-14556.7409154973
26,2809.739958876744
27,341.26067259022966
28,19157.168092696462
29,36140.02809073962
30,-16485.724238370545
31,-5617.266600606032
32,-16600.41751095699
33,-2619.0995771228336
34,-6539.6073377779685
35,19205.684639066923
36,11061.690181097947
37,795.8135298457928
38,-13142.336596046574
39,-24982.51867867401
40,4738.528479774483
41,32729.57376454724
42,9458.628031659406
43,21980.388988148887
44,1255.3380428683013
45,516.2298707221635
46,3071.142314114142
47,12493.2488270686
48,3004.529080506414
49,20511.350366949104
50,-10382.24435665179
51,-4145.90008886531
52,9446.958239320666
53,-361.9683745438233
54,291.5912378290668
55,-6155.810430673882
56,25082.886960070115
57,-8409.339367603417
58,-21775.310907364823
59,2115.334001180716
60,48432.13724266505
61,-16877.187263588887
