,0
0,1619896.3304830056
1,1640633.3205924777
2,1665818.6137216666
3,1683699.8335386787
4,1688891.5166672524
5,1688803.9773013347
6,1711361.3116672423
7,1745820.3881004357
8,1743974.62719098
9,1740534.6972521946
10,1738158.244851011
11,1742054.0789562846
12,1780500.9178441805
13,1819442.758135959
14,1811903.6393101541
15,1833454.4427553862
16,1858717.1999346232
17,1873031.550673807
18,1886533.318500546
19,1901680.0344860288
20,1843425.6089842536
21,1855340.6768443873
22,1792026.4974513298
23,1853077.8673184705
24,1813878.457099405
25,1729971.1483468695
26,1736382.4533511233
27,1786710.294098717
28,1813361.9055467804
29,1855787.136141713
30,1874956.5335187905
31,1865098.3194690465
32,1887093.6251940487
33,1904865.7112362667
34,1904976.5674615304
35,1928014.47401676
36,1956433.6880036637
37,1935369.1689801717
38,1929582.298937918
39,1895552.7110374963
40,1906261.2484809814
41,1933731.9721328933
42,1948814.6973390055
43,1962428.7772953382
44,1976390.5706590235
45,2017429.5501325917
46,2037804.6147668331
47,2016114.9328314748
48,2023964.7748518037
49,2015848.4215564264
50,1999487.1260685048
51,1957852.3770706656
52,1995960.8174050956
53,1988453.4251351513
54,1934536.5111362736
55,1875510.8951127292
56,1946715.11276739
57,1869346.0172422738
58,1807417.6793961541
59,1834887.12681439
60,1752441.5105652842
61,1774482.0892513667
62,1797275.4094336494
