,0
0,-21559.73359218333
1,31667.91419557901
2,1466.9626020267606
3,18766.530816711485
4,108124.65541611472
5,-16791.87492850749
6,79928.18532091798
7,5971.896022096742
8,-26248.328485167585
9,-95193.8570169094
10,65386.520712332334
11,-4930.1064459071495
12,34133.78198916605
13,-14454.950056095608
14,-67226.03233529581
15,92915.2659798204
16,52380.13678522408
17,-110029.53543786705
18,46167.564983907156
19,21275.851380910724
20,28941.80157037312
21,18248.801688973326
22,13343.778314152267
23,30207.251102935523
24,-54706.91109866882
25,-20647.485910631716
26,12833.3809734541
27,34383.24596848851
28,21717.11339194281
29,2087.7113062334247
30,45679.17954210006
31,-38625.2101928913
32,-2825.1031765798107
33,-22380.298035424203
34,-1640.593898830004
35,-4369.391381898429
36,31984.91085769562
37,11676.435162883252
38,15907.905253609177
39,5949.230468023568
40,-27452.248690568842
41,43524.945711442735
42,26474.45369794313
43,47903.85266274121
44,74473.99437075946
45,-111923.61055080453
46,6256.66326505132
47,21177.708613562398
48,51136.92642810941
49,19670.689245296177
50,20713.32812002208
51,5881.377666520886
52,54978.845777567476
53,39883.07920654444
54,-43546.404324376956
55,27721.02500462951
56,-57554.90733205946
57,4478.748191605788
58,79945.04649527324
59,84711.2653753236
60,16454.040039060637
61,132860.93708937615
