,0
0,1845303.7558458014
1,1857060.3628848016
2,1857239.6050608014
3,1873960.5679518017
4,1873404.5814508016
5,1873055.3769838016
6,1875675.8595198016
7,1871099.9230218015
8,1865184.1817988018
9,1872771.0796278014
10,1883301.9742498016
11,1924185.2265068013
12,1906001.2385248016
13,1916157.5199188015
14,1939801.2376418016
15,1964616.0761518015
16,1977031.5916028013
17,1956921.9619008016
18,1933310.0472418016
19,1971703.8812738014
20,1955771.1588448016
21,1909209.7002098016
22,1907518.8470258017
23,1898645.7806238015
24,1910363.397427507
25,1830900.6131471968
26,1859429.6919546248
27,1891651.5822163867
28,1929744.7405037766
29,1906581.1869933656
30,1872372.2732036924
31,1892728.9593767123
32,1909126.500731892
33,1860423.5303766062
34,1862466.393403929
35,1881723.7305253665
36,1852058.5842178683
37,1859983.033524289
38,1834247.9446971135
39,1762377.5841241796
40,1828041.0642396302
41,1856454.2268511378
42,1871644.2445415123
43,1898368.0084508844
44,1914599.4243144775
45,1892407.5219292992
46,1896478.534676529
47,1893267.2257566706
48,1879439.5212453604
49,1888804.8653546937
50,1902264.345987246
51,1985700.0749235041
52,2051646.2957816878
53,2034431.6093920837
54,2037297.1787521727
55,1963465.5502287757
56,1973938.5616204287
57,2000190.5909714708
58,2005861.682578559
59,2047999.3202934333
60,2052151.8643178921
61,2079742.160871974
62,2069438.0678851004
