,0
0,1726.9580948066432
1,10234.089227436576
2,4797.721342583653
3,-11654.642427858897
4,13852.517178981798
5,4284.625274462858
6,3953.6745830227155
7,5050.540138620883
8,4030.1971627026796
9,-5900.892742352327
10,-232.63588616857305
11,404.1018889283296
12,11456.382309274515
13,7503.138491966529
14,3218.658060493646
15,-5452.0791234348435
16,-7952.7257146122865
17,4092.2069153124467
18,-2075.6885335785337
19,-1342.0675187883899
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,-1142.6875329890754
34,-2260.396945662098
35,3422.445538863307
36,11564.903622369748
37,-149.5451024104841
38,3358.173254455207
39,-7092.015750846593
40,-2156.9312406159006
41,-1346.2706515812315
42,-449.5336477695964
43,-343.2157330021728
44,-3046.3842790797353
45,-1619.976611721795
46,6885.604839357082
47,-1346.3183038721327
48,0.0
49,0.0
50,0.0
51,2096.1413695176598
52,-294.07462408416905
53,2044.6726410102565
54,1108.3637715103105
55,-5330.7778897390235
56,-1221.9141686977819
57,-6986.521339854458
58,2944.7581928633153
59,-57.02798690786585
60,9791.413340378087
61,-1349.0985646301415
