,0
0,2580922.294151243
1,2628571.7888574377
2,2653937.7209227127
3,2683105.441106077
4,2696450.334757796
5,2722066.844932815
6,2704441.2623467688
7,2712942.32285552
8,2737662.755689655
9,2781801.57960462
10,2785278.148353094
11,2788330.3463879526
12,2792693.596931223
13,2762623.376959733
14,2702203.4169465965
15,2744824.0419707485
16,2758313.867678559
17,2758683.236007184
18,2716016.336851318
19,2795433.600812759
20,2759435.102056673
21,2762125.3233284415
22,2808214.502418791
23,2807178.9974750387
24,2855676.1483677374
25,2853516.0729699563
26,2878633.9287283244
27,2872142.398381077
28,2882570.302328973
29,2877333.7634061975
30,2895178.40975121
31,2875820.101323811
32,2815656.0502710952
33,2694490.0137573984
34,2629597.1999646523
35,2642746.4110625284
36,2512634.880429669
37,2546348.9811996617
38,2650249.112378272
39,2563668.909319108
40,2656102.16403127
41,2541186.8717425857
42,2498606.5254511526
43,2330972.3468081737
44,2461659.9864838542
45,2342136.333594941
46,2141470.73181159
47,2361177.0379513744
48,2086900.426437434
49,2165852.2638779394
50,2114978.59464272
51,2147027.5594902732
52,2058622.5898548227
53,2038019.186204388
54,2181252.2873635776
55,2130466.0308033074
56,2242361.8329971544
57,2143719.8216814026
58,2215358.417409534
59,2236263.347520971
60,2134895.1157402587
61,2164779.8009415995
62,2121076.401531685
