,0
0,2069438.0678851004
1,2066159.961239933
2,2084832.575286861
3,2086358.3029824903
4,2098486.645486184
5,2097428.275074979
6,2079350.4828328723
7,2096251.2510977387
8,2102669.2443766324
9,2083198.9750658008
10,2098592.1074752365
11,2098193.0317774224
12,2110729.4325881056
13,2101161.1709473412
14,2114763.9768346744
15,2098755.4123430713
16,2081513.01507058
17,2059189.5052684736
18,2056025.2762040512
19,2030882.5249970169
20,1960210.7940941777
21,1990552.793612577
22,2003845.194874337
23,2046824.3619860723
24,2032414.52091002
25,2006573.26082576
26,2035182.1572981395
27,1989330.7146697375
28,1984805.2142845744
29,2009184.8493367564
30,2020084.8980667589
31,2010326.6541563007
32,2031975.513709135
33,2018765.0991164886
34,1985215.743991328
35,2009271.178260115
36,2010553.9286299967
37,1994909.2642188128
38,2015419.2844147824
39,2010126.7760860329
40,1997705.6016930644
41,2009349.567752601
42,2026179.256281673
43,2017757.3363927752
44,2003039.0747604286
45,1993190.6930573215
46,1997476.1641295908
47,2004067.8612143672
48,2002296.4929725188
49,2002026.428939688
50,2008864.5740839858
51,2011216.9961270073
52,2024978.9881442324
53,2014148.0634150824
54,2012400.5616139374
55,2001005.1075556958
56,2013312.2656347672
57,2015133.1621504945
58,2004443.9621745972
59,2012000.7940701847
60,2000359.4855674845
61,1985749.993157485
62,1995728.9035251848
