,0
0,5644.2887854198925
1,-1235.4790022766683
2,13281.86911445891
3,7198.206512746867
4,-359.66729443415534
5,-3319.894576983759
6,984.3015777776018
7,-3362.0406777858734
8,1661.8289264555788
9,1018.9375510013197
10,10658.93363254657
11,-4679.102779014036
12,4984.970039086882
13,-5195.929677451728
14,-1424.1848054548027
15,481.8235952454852
16,9589.557884759735
17,8927.119543041568
18,5722.077044176171
19,-7002.264631072758
20,-1650.9091010086704
21,5190.122324829223
22,9046.378512133146
23,-233.09967200946994
24,2006.431738206884
25,2360.2192966064904
26,3952.9285112502985
27,-461.9159207190387
28,-2974.018236212898
29,-4519.915543787181
30,-401.6002177747432
31,1348.9218531618826
32,-8161.653591425391
33,2005.647285058163
34,4691.840732518118
35,-5822.329444194911
36,2928.564076623181
37,10551.176921213511
38,2949.52858108934
39,-4324.246372960042
40,1500.9917263644747
41,2579.7398786465637
42,3051.0475295803044
43,17303.948578865035
44,-5230.263952857582
45,-2539.039100239752
46,-31446.770591752836
47,13755.709218215197
48,-12328.740642248653
49,365.46767162019387
50,11421.635065748123
51,8941.77522150753
52,-4039.9749018913135
53,6780.602535260143
54,16943.52670512139
55,16971.033916473854
56,468.7691497830674
57,-9639.76832091622
58,22077.87148402864
59,13944.829157860484
60,-1849.2625289447606
61,10050.840697135776
